1.440,1.156,-0.956,-3
1.460,1.125,-0.992,-3
1.480,1.093,-1.027,-3
1.500,1.061,-1.061,-3
1.520,1.027,-1.093,-3
1.540,0.992,-1.125,-3
1.560,0.956,-1.156,-3
1.580,0.919,-1.185,-3
1.600,0.882,-1.214,-3
1.620,0.843,-1.241,-3
1.640,0.804,-1.266,-3
1.660,0.764,-1.291,-3
1.680,0.723,-1.314,-3
1.700,0.681,-1.337,-3
1.720,0.639,-1.357,-3
1.740,0.596,-1.377,-3
1.760,0.552,-1.395,-3
1.780,0.508,-1.411,-3
1.800,0.464,-1.427,-3
1.820,0.418,-1.440,-3
1.840,0.373,-1.453,-3
1.860,0.327,-1.464,-3
1.880,0.281,-1.473,-3
1.900,0.235,-1.482,-3
1.920,0.188,-1.488,-3
1.940,0.141,-1.493,-3
1.960,0.094,-1.497,-3
1.980,0.047,-1.499,-3
2.000,-0.000,-1.500,3
2.020,-0.047,-1.499,3
2.040,-0.094,-1.497,3
2.060,-0.141,-1.493,3
2.080,-0.188,-1.488,3
2.100,-0.235,-1.482,3
2.120,-0.281,-1.473,3
2.140,-0.327,-1.464,3
2.160,-0.373,-1.453,3
2.180,-0.418,-1.440,3
2.200,-0.464,-1.427,3
2.220,-0.508,-1.411,3
2.240,-0.552,-1.395,3
2.260,-0.596,-1.377,3
2.280,-0.639,-1.357,3
2.300,-0.681,-1.337,3
2.320,-0.723,-1.314,3
2.340,-0.764,-1.291,3
2.360,-0.804,-1.266,3
2.380,-0.843,-1.241,3
2.400,-0.882,-1.214,3
2.420,-0.919,-1.185,3
2.440,-0.956,-1.156,3
2.460,-0.992,-1.125,3
2.480,-1.027,-1.093,3
2.500,-1.061,-1.061,3
2.520,-1.093,-1.027,3
2.540,-1.125,-0.992,3
2.560,-1.156,-0.956,3
2.580,-1.185,-0.919,3
2.600,-1.214,-0.882,3
2.620,-1.241,-0.843,3
2.640,-1.266,-0.804,3
2.660,-1.291,-0.764,3
2.680,-1.314,-0.723,3
2.700,-1.337,-0.681,3
2.720,-1.357,-0.639,3
2.740,-1.377,-0.596,3
2.760,-1.395,-0.552,3
2.780,-1.411,-0.508,3
2.800,-1.427,-0.464,3
2.820,-1.440,-0.418,3
2.840,-1.453,-0.373,3
2.860,-1.464,-0.327,3
2.880,-1.473,-0.281,3
2.900,-1.482,-0.235,3
2.920,-1.488,-0.188,3
2.940,-1.493,-0.141,3
2.960,-1.497,-0.094,3
2.980,-1.499,-0.047,3
3.000,-1.500,0.000,-3
3.020,-1.499,0.047,-3
3.040,-1.497,0.094,-3
3.060,-1.493,0.141,-3
3.080,-1.488,0.188,-3
3.100,-1.482,0.235,-3
3.120,-1.473,0.281,-3
3.140,-1.464,0.327,-3
3.160,-1.453,0.373,-3
3.180,-1.440,0.418,-3
3.200,-1.427,0.464,-3
3.220,-1.411,0.508,-3
3.240,-1.395,0.552,-3
3.260,-1.377,0.596,-3
3.280,-1.357,0.639,-3
3.300,-1.337,0.681,-3
3.320,-1.314,0.723,-3
3.340,-1.291,0.764,-3
3.360,-1.266,0.804,-3
3.380,-1.241,0.843,-3
3.400,-1.214,0.882,-3
3.420,-1.185,0.919,-3
3.440,-1.156,0.956,-3
3.460,-1.125,0.992,-3
3.480,-1.093,1.027,-3
3.500,-1.061,1.061,-3
3.520,-1.027,1.093,-3
3.540,-0.992,1.125,-3
3.560,-0.956,1.156,-3
3.580,-0.919,1.185,-3
3.600,-0.882,1.214,-3
3.620,-0.843,1.241,-3
3.640,-0.804,1.266,-3
3.660,-0.764,1.291,-3
3.680,-0.723,1.314,-3
3.700,-0.681,1.337,-3
3.720,-0.639,1.357,-3
3.740,-0.596,1.377,-3
3.760,-0.552,1.395,-3
3.780,-0.508,1.411,-3
3.800,-0.464,1.427,-3
3.820,-0.418,1.440,-3
3.840,-0.373,1.453,-3
3.860,-0.327,1.464,-3
3.880,-0.281,1.473,-3
3.900,-0.235,1.482,-3
3.920,-0.188,1.488,-3
3.940,-0.141,1.493,-3
3.960,-0.094,1.497,-3
3.980,-0.047,1.499,-3
